date,actor,military_activity_score,diplomatic_activity_score,proxy_activity_score,infrastructure_coercion_score,maritime_pressure_score,rhetorical_escalation_score,confidence_of_coding,dominant_posture,key_trigger,key_response,main_theater,notes
2026-04-04,US,2,2,0,2,2,3,High,Mixed,Hormuz Monday deadline and Easter weekend optics,Social ultimatum plus F-15E rescue narrative per AP,GulfHormuz,Coercion clock compressed while CSAR closed the pilot crisis in U.S. favor per brief.
2026-04-04,Israel,3,0,1,2,0,2,High,Escalating,Iran war economy targets,Struck Mahshahr petchem and Bushehr-adjacent reporting per AP,Iran,Netanyahu framed energy strikes as degrading regime revenue.
2026-04-04,Iran,3,1,2,2,3,2,High,Retaliating,Israeli and U.S. strikes context,IRGC claimed Hormuz tanker drone hit plus joint-command hell warnings per brief,MultiTheater,Maritime and missile-diplomacy layers both active.
2026-04-04,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Israeli northern pressure,Maintained rocket pressure narrative under Beirut-area reporting,Lebanon,Supporting-front tempo continued.
2026-04-04,Hashd,0,0,0,0,0,0,Low,Holding,No Hashd-led headline,Latent in reviewed April 4 brief,Iraq,Iraq Hormuz carve-out narrative was Iranian policy not Hashd kinetic.
2026-04-04,Houthis,0,0,1,0,1,0,Low,Holding,Qalibaf Bab el-Mandeb hint,No major new Houthi salvo in same-day brief,YemenRedSea,Second-chokepoint rhetoric without fresh Houthi claims matched.
2026-04-05,US,3,2,0,3,3,3,High,Mixed,CSAR completion and Tuesday Hormuz bridge,Trump tied Tuesday to bridges plants and hell rhetoric while Oman Egypt calls ran per AP,MultiTheater,Markets moved Sunday on threat headlines despite holiday session.
2026-04-05,Israel,2,0,1,2,0,2,High,Escalating,GCC and Lebanon exchanges,Continued strikes and intercept context per AP live,MultiTheater,Haifa and Gulf damage threads continued.
2026-04-05,Iran,3,2,1,2,2,3,High,Pressuring,U.S. ultimatum sequence,UN mission war-crimes framing plus mirror infrastructure threats per AP,MultiTheater,Legal deterrence paired with regional fires.
2026-04-05,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Beirut strike reporting,Maintained northern friction narrative,Lebanon,Four killed Beirut per health ministry in brief.
2026-04-05,Hashd,0,0,0,0,0,0,Low,Holding,No Iraq flashpoint,Latent posture only,Iraq,No material Hashd operations in brief.
2026-04-05,Houthis,0,0,0,0,0,0,Low,Holding,Secondary to Hormuz headlines,No dominant Houthi item April 5 brief,YemenRedSea,Red Sea axis quieter than strait week.
2026-04-06,US,3,3,0,3,2,3,High,Pressuring,Islamabad Accord sourcing and Tuesday deadline,Hegseth largest-strikes messaging plus Trump max infrastructure threats per brief,MultiTheater,Peak kinetic talk same day as structured mediation leak.
2026-04-06,Israel,3,0,1,3,0,2,High,Escalating,Iran energy and airfields,Struck South Pars Asaluyeh and Tehran airports plus Sharif-area reporting per AP,Iran,Katz and Netanyahu framed IRGC revenue denial.
2026-04-06,Iran,3,2,0,2,1,3,High,Pressuring,15-point and ultimatum diplomacy,Baghaei counterproposal and war-crimes framing per Reuters,MultiTheater,FM voice formalized response while strikes continued.
2026-04-06,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Lebanon LF and Beirut threads,Maintained pressure under Israeli expansion logic,Lebanon,Lebanon casualties rose in reporting.
2026-04-06,Hashd,0,0,0,0,0,0,Low,Holding,No Hashd headline,Latent only,Iraq,Iraq not central April 6 brief.
2026-04-06,Houthis,0,0,0,0,0,0,Low,Holding,No Houthi salvo headline,Latent,YemenRedSea,Houthis not material in reviewed items.
2026-04-07,US,2,3,0,2,2,3,High,Mixed,Tuesday 8pm EDT deadline,Announced two-week ceasefire under two hours before deadline per Reuters AP,MultiTheater,Classic cliff-edge pivot with offensive halt narrative same evening.
2026-04-07,Israel,3,0,1,2,0,2,High,Escalating,Morning strike window before pause,Kharg bridges petchem hits then backed U.S. pause while excluding Lebanon per AP,Iran,IAF Iran tempo high until bilateral truce headline.
2026-04-07,Iran,2,3,1,1,2,2,High,Mixed,Apocalyptic U.S. rhetoric,Accepted truce via SNSC while claiming victory conditions per wires,MultiTheater,Dual face tactical pause plus hard-line street protests per AP.
2026-04-07,Hezbollah,1,0,1,0,0,1,Medium,Holding,Pre-ceasefire transition,Lower salience than adjacent days in brief,Lebanon,Pause setup before April 8 surge.
2026-04-07,Hashd,0,0,0,0,0,0,Low,Holding,No flashpoint,Latent,Iraq,No Iraq widening in brief.
2026-04-07,Houthis,0,0,0,0,0,0,Low,Holding,No headline,Latent,YemenRedSea,Not central April 7.
2026-04-08,US,1,3,0,0,0,2,High,Negotiating,Fragile ceasefire first full day,PBS and Vance said Lebanon not covered demanded Hormuz reopen per Reuters,MultiTheater,Diplomatic clarification dominated over new U.S. Iran strikes.
2026-04-08,Israel,3,0,2,1,0,2,High,Escalating,U.S.-Iran headline and Hezbollah logic,Heaviest coordinated Lebanon wave and Litani bridge reporting per Reuters,Lebanon,Decoupled axis spike per lessons.
2026-04-08,Iran,2,2,1,1,3,2,High,Pressuring,Israel Lebanon mass casualties,Qalibaf breach post and shipping sources strait still shut per wires,GulfHormuz,Used strait and conditions to contest U.S. good faith.
2026-04-08,Hezbollah,3,0,3,0,0,2,High,Retaliating,IDF mass strikes,Sources said pause then rockets resumed citing violations per Reuters,Lebanon,Active-expanding proxy week segment.
2026-04-08,Hashd,0,0,0,0,0,0,Low,Holding,No Hashd item,Latent,Iraq,No material Hashd row.
2026-04-08,Houthis,0,0,0,0,0,0,Low,Holding,No Houthi kinetic headline,Latent,YemenRedSea,Secondary to Lebanon Hormuz story.
2026-04-09,US,1,3,0,0,0,2,High,Mixed,Islamabad summit prep,Trump nuclear oil fee posts and Vance misunderstanding frame per Reuters,MultiTheater,Diplomacy-forward with coercive social layer.
2026-04-09,Israel,3,1,2,1,0,2,High,Escalating,Hezbollah operations and mourning context,Continued bombing plus Netanyahu Lebanon direct talks offer per Reuters,Lebanon,Parallel diplomatic and kinetic tracks.
2026-04-09,Iran,2,3,1,1,2,3,High,Pressuring,Low Hormuz throughput data,Khamenei TV-read statement on compensation and strait phase per Reuters,GulfHormuz,Strait metrics undercut headline ceasefire relief.
2026-04-09,Hezbollah,3,0,3,0,0,2,High,Retaliating,IDF tempo,Twenty-plus ops claimed Thursday per Reuters,Lebanon,Sustained friction after April 8 shock.
2026-04-09,Hashd,0,0,0,0,0,0,Low,Holding,No flashpoint,Latent,Iraq,No Iraq widening.
2026-04-09,Houthis,0,0,0,0,0,1,Low,Holding,Pakistan Yemen ceasefire mention,Secondary mediator note only,YemenRedSea,Low verification kinetic thread.
2026-04-10,US,1,3,0,0,0,3,High,Mixed,Islamabad make-or-break,Vance departed with play-us warning Trump hostile posts per Reuters,Diplomatic,Pre-summit volatile messaging.
