forecast_window_start,forecast_window_end,scenario,predicted_actor,predicted_behavior,probability_band,impact_level,confidence,supporting_pattern,main_trigger,main_invalidator,theater,status_after_review
2026-04-11,2026-04-17,MostLikely,US,Maintain offensive pause on Iran while Islamabad talks proceed defensive engagements continue,39-45,High,Medium,April 7 ceasefire precedent and Vance travel April 10,Islamabad round stays seated,Confirmed new offensive BDA inside Iran during claimed truce,Iran,
2026-04-11,2026-04-17,MostLikely,US,Public pressure posts on Hormuz fees and nuclear interleaved with negotiation optimism,39-45,Medium,Medium,April 8-10 Trump and Vance messaging mix,Tehran stalls on throughput,72h only cabinet soothing tone without threats,MultiTheater,
2026-04-11,2026-04-17,MostLikely,Israel,Continue Lebanon air and buffer operations unless sub-deal emerges,39-45,High,High,April 8-10 sustained IDF tempo and Netanyahu talks offer,Hezbollah rocket continuation,Verified mutual 48h halt on Lebanon axis,Lebanon,
2026-04-11,2026-04-17,MostLikely,Israel,Hold deep Iran strikes in abeyance while U.S.-Iran pause holds,39-45,Medium,Medium,Ceasefire architecture implied IAF discipline,Truce holds,IAF confirmed new Tehran strategic strikes despite truce,Iran,
2026-04-11,2026-04-17,MostLikely,Iran,Precondition diplomacy on assets Lebanon and enrichment text,39-45,High,High,Qalibaf Araqchi April 8-10 lines,Islamabad agenda published,Unconditional joint communique,MultiTheater,
2026-04-11,2026-04-17,MostLikely,Iran,Strait behavior remains controlled or restricted until reciprocal steps seen,39-45,High,Medium,April 8-10 shipper narratives and asymmetry,Foreign tanker counts stay low,AIS consensus of free transit without IRGC gating,GulfHormuz,
2026-04-11,2026-04-17,MostLikely,Hezbollah,Rocket and military ops continue if IDF strikes continue,39-45,Medium,High,April 8-10 pause-resume pattern,IDF continued bombardment,Announced ceasefire with monitoring,Lebanon,
2026-04-11,2026-04-17,EscalatoryAlternative,US,Resume offensive Iran strikes or declare deal dead publicly,31-37,Critical,Medium,Trump patience risk if Iran framed stalling,Breakdown posts or sorties resume,Quiet extension of truce with metrics improvement,Iran,
2026-04-11,2026-04-17,EscalatoryAlternative,Iran,Surge GCC utility or missile pressure if pause seen broken,31-37,Critical,Medium,Prior week Gulf exchange habit,Lebanon or strait perceived breach,Third-party verified Iranian unilateral 72h halt,GulfHormuz,
2026-04-11,2026-04-17,EscalatoryAlternative,Israel,Re-intensify deep Iran strikes if truce collapses,31-37,Critical,Medium,Pre-pause high tempo available,U.S. green light narrative,IAF remains paused on Iran,Iran,
2026-04-11,2026-04-17,EscalatoryAlternative,MultiActor,Another mass-casualty IDF wave or Hezbollah heavy salvos,31-37,High,Medium,April 8 precedent under text ambiguity,No Lebanon freeze in talks,Mutual reduction verified 72h,Lebanon,
2026-04-11,2026-04-17,EscalatoryAlternative,Houthis,Episodic long-range or Red Sea signaling uptick,31-37,Medium,Low,Axis solidarity logic if talks fail,Wider war narrative,Houthi announced restraint,YemenRedSea,
2026-04-11,2026-04-17,DeEscalatoryAlternative,MultiActor,Published strait transit rules with rising daily ship counts toward pre-war band,21-27,High,Low,Islamabad venue and fee narrative April 7-8,Written MOU plus insurer normalization,Strait still choked after 72h,GulfHormuz,
2026-04-11,2026-04-17,DeEscalatoryAlternative,MultiActor,Partial asset unfreeze or sanctions signals,21-27,High,Low,Qalibaf claims April 10,White House confirms reciprocal steps,Explicit denial of any unfreeze,MultiTheater,
2026-04-11,2026-04-17,DeEscalatoryAlternative,MultiActor,Mutual strike reduction 72h plus Israel Lebanon talks traction,21-27,Medium,Low,Netanyahu April 9 offer and U.S. hosting mention,U.S.-brokered sub-deal,IDF and Hezbollah tempo unchanged,Lebanon,
