date,actor,military_activity_score,diplomatic_activity_score,proxy_activity_score,infrastructure_coercion_score,maritime_pressure_score,rhetorical_escalation_score,confidence_of_coding,dominant_posture,key_trigger,key_response,main_theater,notes
2026-03-28,US,3,2,0,2,2,3,High,Mixed,Houthi widening and Hormuz pressure,Marines arrived while messaging mixed success and escalation,MultiTheater,Reinforcement continued alongside contradictory presidential rhetoric per wire reporting.
2026-03-28,Israel,3,0,1,2,0,2,High,Escalating,Iranian and allied fires,Struck Tehran-area and regional targets while intercepting Yemen-launched threats,Iran,Israel sustained high-tempo air war as the Red Sea axis reactivated.
2026-03-28,Iran,3,1,2,1,3,3,High,Retaliating,Israeli strikes and U.S. force flow,Warned against ground entry while fires continued toward Israel and Gulf states,MultiTheater,Tehran paired defiance with maritime leverage and proxy widening signals.
2026-03-28,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Israeli pressure in Lebanon,Maintained rocket pressure as Israel cited northern threats,Lebanon,Lebanon stayed an active supporting front to the Iran-centered war.
2026-03-28,Hashd,0,0,0,0,0,0,Low,Holding,Regional war noise,No major attributable Hashd operations in reviewed reporting,Iraq,Iraq remained structurally relevant but quiet in the daily record.
2026-03-28,Houthis,2,0,3,0,2,2,Medium,Escalating,Israeli war entry context,Claimed first direct ballistic fire toward Israel in this war,YemenRedSea,Houthi action added a second maritime chokepoint narrative beside Hormuz.
2026-03-29,US,2,3,0,1,2,2,High,Mixed,Pakistan-hosted ministerial push,Claimed negotiation progress and a 20-ship Hormuz opening while forces approached the theater,GulfHormuz,Washington paired diplomatic optimism with continued military options.
2026-03-29,Israel,3,0,1,3,0,2,High,Escalating,Hezbollah rocket pressure,Heavy Tehran strikes and ordered deeper Lebanon buffer expansion,MultiTheater,Israel mixed deep Iran strikes with northern ground-air escalation.
2026-03-29,Iran,2,2,1,1,2,3,High,Pressuring,U.S. ground-invasion fears and talks framing,Parliament speaker tied Kharg Hormuz and nuclear scenarios to retaliation warnings,MultiTheater,Tehran escalated rhetoric on a possible U.S. ground phase while diplomacy met regionally.
2026-03-29,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Israeli buffer expansion orders,Continued rocket threat narrative under Israeli expansion claims,Lebanon,Northern front intensity rose with Israeli security-zone rhetoric.
2026-03-29,Hashd,0,0,0,0,0,0,Low,Holding,No direct daily flashpoint,Remained latent in reviewed March 29 items,Iraq,Iraq not central in the same-day brief beyond background risk.
2026-03-29,Houthis,2,0,2,0,2,1,Medium,Retaliating,Regional war expansion,Israel reported intercepting drones launched from Yemen,YemenRedSea,Houthi axis stayed active after the prior day’s claimed ballistic claim.
2026-03-30,US,3,2,0,3,2,3,High,Pressuring,Hormuz closure and market stress,Threatened Kharg power plants and oil wells while White House claimed talks progressing,MultiTheater,Explicit energy-target threats fused with negotiation claims in reporting.
2026-03-30,Israel,3,0,1,2,0,2,High,Escalating,Ongoing exchange war,Continued strikes in Tehran area alongside U.S. partner context,Iran,Israel kept striking amid utility and refinery risk reports elsewhere in the region.
2026-03-30,Iran,3,1,0,3,2,2,High,Retaliating,Strikes and coercive oil diplomacy,Hits on Gulf utility and refinery-linked reporting while FM denied direct U.S. talks,GulfHormuz,Iran mixed kinetic Gulf pressure with public rejection of Washington’s terms.
2026-03-30,Hezbollah,2,1,2,0,0,1,Medium,Mixed,UNIFIL casualties and Lebanon exchanges,Maintained pressure while a peacekeeper fatality triggered U.N. scrutiny,Lebanon,Lebanon costs rose alongside U.N. legal warnings in reporting.
2026-03-30,Hashd,0,0,0,0,0,0,Low,Holding,No Hashd-led headline,Latent posture only in reviewed reporting,Iraq,Iraq lane stayed secondary on this date.
2026-03-30,Houthis,1,0,2,0,2,1,Medium,Holding,Israeli intercept reporting,Remained a Red Sea pressure thread via drone claims,YemenRedSea,Houthi tempo continued at a lower kinetic profile than the initial ballistic claim day.
2026-03-31,US,3,2,0,3,3,3,High,Mixed,Allied burden-sharing stress,Shifted Hormuz responsibility rhetoric and announced a national address while strikes continued,MultiTheater,Public burden shift and infrastructure threats coincided with allied friction stories.
2026-03-31,Israel,3,0,1,2,0,2,High,Escalating,Iranian fires and strike program,Struck multiple Iranian cities including Isfahan-linked reporting and Lebanon targets,MultiTheater,Israel widened industrial and nuclear-linked narratives amid disputed pharma claims.
2026-03-31,Iran,3,2,0,3,3,3,High,Pressuring,U.S.-Israeli strikes and tanker risk,IRGC threatened U.S. companies from April 1 while Gulf intercepts surged,GulfHormuz,Maritime and corporate threat lanes widened in official messaging.
2026-03-31,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,IDF Lebanon operations,Maintained rocket threat under Israeli south-of-border expansion,Lebanon,Lebanon remained actively costly for Israel in reporting.
2026-03-31,Hashd,0,1,2,0,0,1,Medium,Pressuring,U.S. kidnapping attribution narrative,U.S. officials blamed Kataib Hezbollah for a Baghdad journalist kidnapping per AP,Iraq,A single high-visibility Iraq incident raised proxy risk without a broad front surge.
2026-03-31,Houthis,0,0,1,0,1,0,Low,Holding,Secondary to Gulf tanker headlines,No major new Houthi claim matched the Kuwait tanker focus,YemenRedSea,Red Sea axis was quieter than Hormuz and Gulf intercept reporting.
2026-04-01,US,3,2,0,3,2,3,High,Mixed,Prime-time address planning and IEA warnings,National address promised weeks of hard strikes while omitting emphasis on ongoing negotiations,MultiTheater,Victory framing and infrastructure threats dominated the public bandwidth.
2026-04-01,Israel,3,0,1,1,0,2,High,Escalating,Continued missile war,Reported strikes in Tehran even as the U.S. president spoke,Iran,Israeli tempo stayed visually coupled to U.S. political timing in live coverage notes.
2026-04-01,Iran,2,2,0,1,1,3,High,Deterring,Ceasefire claim-counterclaim war,IRGC channels listed U.S. tech firms as legitimate targets with a timed warning,MultiTheater,Corporate targeting doctrine escalated in messaging while Tehran denied Trump ceasefire framing.
2026-04-01,Hezbollah,1,0,2,0,0,1,Medium,Holding,Lebanon exchanges continued,Secondary to Iran-Gulf and speech-driven news cycle,Lebanon,Lebanon violence persisted but was not the day’s headline driver.
2026-04-01,Hashd,0,0,0,0,0,0,Low,Holding,No new Iraq flashpoint beyond prior kidnapping story,Latent,Iraq,Iraq incident carried over as context rather than a new kinetic wave.
2026-04-01,Houthis,0,0,1,0,1,1,Low,Holding,Oil narrative and secondary chokepoint risk,Remained a background widening risk in market stories,YemenRedSea,Houthi lane stayed present mainly through energy-risk framing.
2026-04-02,US,3,2,0,3,2,3,High,Escalating,Speech-driven prolonged-war repricing context,U.S. strike hit a major Tehran-Karaj bridge with holiday civilian casualties reported by Iran,MultiTheater,Infrastructure targeting became highly visible alongside Pentagon leadership changes.
2026-04-02,Israel,3,0,1,1,0,2,High,Escalating,Iranian fires toward Israel,Continued exchanges as Lebanon casualties spiked in 24-hour reporting,Iran,Israel stayed on the offensive across theaters in the wire summary.
